Timestamp,Yaw,Pitch,Roll,Qtn[0], Qtn[1], Qtn[2], Qtn[3],Rate X,Rate Y,Rate Z,Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z,Temp,Pres,dTime,dTheta X,dTheta Y,dTheta Z,dVel X,dVel Y,dVel Z,MagNed X,MagNed Y,MagNed Z,AccelNed X,AccelNed Y,AccelNed Z,LinearAccel X,LinearAccel Y,LinearAccel Z,LinearAccelNed X,LinearAccelNed Y,LinearAccelNed Z
2868.37,36.115,-87.0085,32.4762,0.397707,-0.565523,0.398879,0.602419,0.0102748,0.0812939,-0.234362,-122.992,-0.5396,2.79583,0.383715,-0.119732,0.0503611,32.67,101.489,0.025,-0.02931,0.030397,-0.106525,-1.15086,-0.000344282,0.00299585,0.109241,-0.0788055,0.382054,-5.70102,-6.58136,-122.716,-113.211,-0.26516,3.22699,-5.70102,-6.58136,-112.923
2868.39,36.115,-87.0085,32.4762,0.397707,-0.565523,0.398879,0.602419,0.0102748,0.0812939,-0.234362,-122.992,-0.5396,2.79583,0.383715,-0.119732,0.0503611,32.67,101.489,0.025,-0.02931,0.030397,-0.106525,-1.15086,-0.000344282,0.00299585,0.109241,-0.0788055,0.382054,-5.70102,-6.58136,-122.716,-113.211,-0.26516,3.22699,-5.70102,-6.58136,-112.923
2868.42,35.4155,-87.0806,32.5612,0.394713,-0.568101,0.39561,0.604116,-0.0900606,0.147236,-0.0121492,-94.6839,4.92243,-3.46915,0.369184,-0.10922,0.0358759,32.67,101.127,0.024999,-0.376768,-0.0138759,-0.00172203,-2.40948,-0.0525137,0.0325965,0.103092,-0.0633385,0.367251,-7.19287,2.26698,-94.575,-84.9028,5.1909,-3.04874,-7.19287,2.26698,-84.7812
2868.44,32.7975,-87.0616,34.7189,0.393107,-0.569561,0.392499,0.605815,-0.0336487,-0.125767,-0.0566864,-98.6329,-5.41333,1.15115,0.336922,-0.115504,0.0468273,32.675,101.229,0.024999,-0.125216,-0.112516,-0.0327553,-2.41942,-0.0689696,-0.157217,0.103304,-0.0781028,0.33508,0.309222,-5.87404,-98.6128,-88.8521,-5.12739,1.5638,0.309222,-5.87404,-88.8191
2868.47,32.7975,-87.0616,34.7189,0.393107,-0.569561,0.392499,0.605815,-0.0336487,-0.125767,-0.0566864,-98.6329,-5.41333,1.15115,0.336922,-0.115504,0.0468273,32.675,101.229,0.024999,-0.125216,-0.112516,-0.0327553,-2.41942,-0.0689696,-0.157217,0.103304,-0.0781028,0.33508,0.309222,-5.87404,-98.6128,-88.8521,-5.12739,1.5638,0.309222,-5.87404,-88.8191
2868.49,28.3159,-87.2064,39.7595,0.397396,-0.568632,0.393959,0.602935,0.0606952,-0.142494,-0.101852,-101.398,-8.18164,5.79448,0.35128,-0.141358,0.0614626,32.67,101.218,0.025001,0.218175,-0.135228,-0.0662374,-2.51861,-0.0869461,-0.0037399,0.123212,-0.101702,0.348759,1.07479,-10.7749,-101.316,-91.6163,-7.87635,6.16143,1.07479,-10.7749,-91.5221
2868.52,28.3159,-87.2064,39.7595,0.397396,-0.568632,0.393959,0.602935,0.0606952,-0.142494,-0.101852,-101.398,-8.18164,5.79448,0.35128,-0.141358,0.0614626,32.67,101.218,0.025001,0.218175,-0.135228,-0.0662374,-2.51861,-0.0869461,-0.0037399,0.123212,-0.101702,0.348759,1.07479,-10.7749,-101.316,-91.6163,-7.87635,6.16143,1.07479,-10.7749,-91.5221
2868.54,29.0845,-87.1482,39.0568,0.397539,-0.568018,0.39448,0.603079,0.254068,0.0482641,0.0144235,-102.926,-1.93539,-6.2932,0.352061,-0.158785,0.0594077,32.67,101.048,0.025,0.0644367,0.072823,0.00219046,-2.57037,-0.128193,0.000538671,0.140501,-0.105773,0.348942,-0.342703,2.62709,-103.102,-93.1442,-1.62835,-5.9148,-0.342703,2.62709,-93.3084
2868.57,29.0845,-87.1482,39.0568,0.397539,-0.568018,0.39448,0.603079,0.254068,0.0482641,0.0144235,-102.926,-1.93539,-6.2932,0.352061,-0.158785,0.0594077,32.67,101.048,0.025,0.0644367,0.072823,0.00219046,-2.57037,-0.128193,0.000538671,0.140501,-0.105773,0.348942,-0.342703,2.62709,-103.102,-93.1442,-1.62835,-5.9148,-0.342703,2.62709,-93.3084
2868.59,28.1649,-87.0841,40.555,0.400897,-0.565647,0.397014,0.601419,0.161398,-0.0147574,-0.0570767,-104.081,-6.37641,-4.81264,0.353183,-0.14646,0.071845,32.67,101.059,0.025,0.183903,0.0275283,-0.0201138,-2.61934,-0.098194,-0.0567448,0.126192,-0.111645,0.350658,3.01163,-0.333588,-104.344,-94.3004,-6.05248,-4.4341,3.01163,-0.333588,-94.5499
2868.62,28.4019,-86.8879,41.4031,0.406618,-0.560625,0.40227,0.598782,0.375771,0.0459062,-0.0763823,-105.796,-5.57027,-2.75296,0.352221,-0.144443,0.0626788,32.67,101.059,0.025,0.563041,0.0881489,-0.0816433,-2.63922,-0.104239,-0.0713549,0.130683,-0.0996281,0.349068,1.11833,-2.07531,-105.952,-96.0166,-5.21862,-2.35413,1.11833,-2.07531,-96.1582
2868.64,28.4019,-86.8879,41.4031,0.406618,-0.560625,0.40227,0.598782,0.375771,0.0459062,-0.0763823,-105.796,-5.57027,-2.75296,0.352221,-0.144443,0.0626788,32.67,101.059,0.025,0.563041,0.0881489,-0.0816433,-2.63922,-0.104239,-0.0713549,0.130683,-0.0996281,0.349068,1.11833,-2.07531,-105.952,-96.0166,-5.21862,-2.35413,1.11833,-2.07531,-96.1582
2868.67,28.6085,-86.6652,42.2335,0.412092,-0.555558,0.407211,0.596419,0.384172,0.0639491,-0.0347852,-106.975,-4.33104,-3.36981,0.357037,-0.150653,0.0709451,32.67,101.048,0.025001,0.525527,0.0918502,-0.0512112,-2.67246,-0.0899911,-0.0675843,0.137189,-0.106551,0.353597,-0.274285,-1.22228,-107.109,-97.1981,-3.94809,-2.94797,-0.274285,-1.22228,-97.3148
2868.69,28.6085,-86.6652,42.2335,0.412092,-0.555558,0.407211,0.596419,0.384172,0.0639491,-0.0347852,-106.975,-4.33104,-3.36981,0.357037,-0.150653,0.0709451,32.67,101.048,0.025001,0.525527,0.0918502,-0.0512112,-2.67246,-0.0899911,-0.0675843,0.137189,-0.106551,0.353597,-0.274285,-1.22228,-107.109,-97.1981,-3.94809,-2.94797,-0.274285,-1.22228,-97.3148
2868.72,29.137,-86.5686,42.249,0.414788,-0.55299,0.409954,0.595055,0.406067,0.066556,-0.0188526,-107.624,-3.61785,-3.04912,0.354248,-0.138285,0.0740887,32.67,101.104,0.024999,0.542667,0.0963211,-0.0316507,-2.6858,-0.0896259,-0.0710015,0.125863,-0.104062,0.351331,-1.23207,-1.40573,-107.711,-97.8475,-3.22372,-2.6152,-1.23207,-1.40573,-97.9176
2868.75,30.8039,-86.4228,41.7136,0.4201,-0.547931,0.415905,0.59187,0.435451,0.0608959,0.0112693,-108.046,-3.10741,-2.98254,0.35421,-0.142329,0.0820883,32.67,101.036,0.025001,0.569853,0.0893866,0.0113488,-2.69705,-0.0946195,-0.0764151,0.13002,-0.10977,0.351434,-1.93749,-1.5452,-108.103,-98.2709,-2.70081,-2.5264,-1.93749,-1.5452,-98.3093
2868.77,30.8039,-86.4228,41.7136,0.4201,-0.547931,0.415905,0.59187,0.435451,0.0608959,0.0112693,-108.046,-3.10741,-2.98254,0.35421,-0.142329,0.0820883,32.67,101.036,0.025001,0.569853,0.0893866,0.0113488,-2.69705,-0.0946195,-0.0764151,0.13002,-0.10977,0.351434,-1.93749,-1.5452,-108.103,-98.2709,-2.70081,-2.5264,-1.93749,-1.5452,-98.3093
2868.8,33.8192,-86.3661,39.9374,0.42533,-0.54295,0.422937,0.587727,0.481474,0.0588714,0.0584631,-108.828,-4.30019,-3.06375,0.35415,-0.147449,0.0810011,32.67,101.002,0.025,0.631291,0.0863881,0.0811262,-2.7192,-0.103625,-0.0763843,0.1375,-0.106555,0.351375,-0.753672,-2.10624,-108.933,-99.0536,-3.9017,-2.58779,-0.753672,-2.10624,-99.139
2868.82,33.8192,-86.3661,39.9374,0.42533,-0.54295,0.422937,0.587727,0.481474,0.0588714,0.0584631,-108.828,-4.30019,-3.06375,0.35415,-0.147449,0.0810011,32.67,101.002,0.025,0.631291,0.0863881,0.0811262,-2.7192,-0.103625,-0.0763843,0.1375,-0.106555,0.351375,-0.753672,-2.10624,-108.933,-99.0536,-3.9017,-2.58779,-0.753672,-2.10624,-99.139
2868.85,35.8507,-86.3678,38.5766,0.427968,-0.540444,0.426902,0.58525,0.49716,0.0534307,0.078131,-109.498,-4.42015,-3.05186,0.355208,-0.140292,0.0843917,32.68,100.961,0.025,0.666085,0.0839811,0.111091,-2.73246,-0.101863,-0.0783341,0.130691,-0.105803,0.353132,-0.553854,-2.31563,-109.604,-99.7243,-4.03326,-2.5668,-0.553854,-2.31563,-99.8105
2868.87,35.8507,-86.3678,38.5766,0.427968,-0.540444,0.426902,0.58525,0.49716,0.0534307,0.078131,-109.498,-4.42015,-3.05186,0.355208,-0.140292,0.0843917,32.68,100.961,0.025,0.666085,0.0839811,0.111091,-2.73246,-0.101863,-0.0783341,0.130691,-0.105803,0.353132,-0.553854,-2.31563,-109.604,-99.7243,-4.03326,-2.5668,-0.553854,-2.31563,-99.8105
2868.9,40.4432,-86.4139,35.3819,0.433298,-0.535495,0.435252,0.579702,0.513622,0.0406588,0.101984,-110.741,-4.08722,-3.32834,0.353253,-0.141198,0.095674,32.67,100.9,0.025001,0.702963,0.0675529,0.147511,-2.76475,-0.101223,-0.0804893,0.13028,-0.11301,0.352327,-0.501271,-2.27362,-110.842,-100.966,-3.73252,-2.82889,-0.501271,-2.27362,-101.048
2868.92,45.7429,-86.5042,31.5402,0.438678,-0.530638,0.444011,0.573445,0.526539,0.0347796,0.11833,-112.238,-4.05435,-3.28068,0.351225,-0.148304,0.0967828,32.67,100.855,0.025,0.732272,0.0538816,0.177345,-2.79669,-0.10186,-0.079046,0.138313,-0.11171,0.350871,-0.105667,-2.60071,-112.329,-102.463,-3.74195,-2.77169,-0.105667,-2.60071,-102.535
2868.95,45.7429,-86.5042,31.5402,0.438678,-0.530638,0.444011,0.573445,0.526539,0.0347796,0.11833,-112.238,-4.05435,-3.28068,0.351225,-0.148304,0.0967828,32.67,100.855,0.025,0.732272,0.0538816,0.177345,-2.79669,-0.10186,-0.079046,0.138313,-0.11171,0.350871,-0.105667,-2.60071,-112.329,-102.463,-3.74195,-2.77169,-0.105667,-2.60071,-102.535
2868.97,51.4021,-86.6083,27.3853,0.444212,-0.525747,0.452919,0.566683,0.5412,0.0186506,0.122595,-113.475,-4.02245,-3.6427,0.351303,-0.142091,0.109231,32.67,100.799,0.025001,0.749907,0.0353737,0.18454,-2.8296,-0.1048,-0.0859256,0.131139,-0.118489,0.352559,0.460329,-2.4627,-113.577,-103.698,-3.75594,-3.12823,0.460329,-2.4627,-103.783
2869,51.4021,-86.6083,27.3853,0.444212,-0.525747,0.452919,0.566683,0.5412,0.0186506,0.122595,-113.475,-4.02245,-3.6427,0.351303,-0.142091,0.109231,32.67,100.799,0.025001,0.749907,0.0353737,0.18454,-2.8296,-0.1048,-0.0859256,0.131139,-0.118489,0.352559,0.460329,-2.4627,-113.577,-103.698,-3.75594,-3.12823,0.460329,-2.4627,-103.783
2869.02,54.2447,-86.6603,25.3026,0.447035,-0.523284,0.457333,0.563188,0.544215,0.0226262,0.119588,-114.36,-3.64631,-3.16535,0.351314,-0.141076,0.108084,32.685,100.765,0.024999,0.754603,0.0311325,0.182944,-2.85092,-0.10525,-0.0789574,0.131122,-0.115224,0.352897,0.262728,-2.96141,-114.424,-104.583,-3.40246,-2.64953,0.262728,-2.96141,-104.63
2869.05,59.4175,-86.7438,21.6239,0.452731,-0.518297,0.465745,0.556313,0.547846,0.00571026,0.103739,-116.361,-4.21138,-3.41255,0.34928,-0.148208,0.104644,32.69,100.689,0.025,0.75177,0.0158833,0.158114,-2.89869,-0.104157,-0.0887344,0.140233,-0.109307,0.35114,1.32479,-2.9815,-116.441,-106.583,-4.00638,-2.89541,1.32479,-2.9815,-106.647
2869.07,59.4175,-86.7438,21.6239,0.452731,-0.518297,0.465745,0.556313,0.547846,0.00571026,0.103739,-116.361,-4.21138,-3.41255,0.34928,-0.148208,0.104644,32.69,100.689,0.025,0.75177,0.0158833,0.158114,-2.89869,-0.104157,-0.0887344,0.140233,-0.109307,0.35114,1.32479,-2.9815,-116.441,-106.583,-4.00638,-2.89541,1.32479,-2.9815,-106.647
