Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Timestamp
0.35688942,-0.73789299,9.92056131,0.05112,-1.20384,-0.42192,0
0.34724376,-0.76200714,9.87233301,0.03024,-1.20096,-0.37224,0
0.3375981,-0.79094412,9.97843527,0.04392,-1.19016,-0.37008,0
0.32312961,-0.7234245,9.91573848,0.0432,-1.21896,-0.34488,0
0.32795244,-0.73789299,9.91091565,0.04176,-1.23408,-0.35208,0
0.2893698,-0.80541261,9.95432112,0.06264,-1.22256,-0.32256,0
0.36653508,-0.76682997,9.94467546,0.03744,-1.21536,-0.32256,0
0.32795244,-0.79094412,9.94949829,0.0504,-1.2312,-0.31248,0
0.39547206,-0.74753865,9.93985263,0.03456,-1.21536,-0.31608,0
0.31830678,-0.83917242,9.87715584,0.03528,-1.2456,-0.29808,0
0.38100357,-0.73789299,9.89162433,0.03456,-1.25712,-0.31752,0
0.35688942,-0.87293223,9.83375037,0.02232,-1.2384,-0.34056,0
0.45816885,-0.8681094,9.90609282,0.00576,-1.2312,-0.33696,0
0.47746017,-0.81505827,9.94467546,0.03528,-1.22976,-0.35568,0
0.52086564,-0.87775506,9.93020697,0.04176,-1.21752,-0.36144,0
0.52086564,-0.88257789,9.86751018,0.05616,-1.21824,-0.35568,0
0.52568847,-0.8681094,9.95432112,0.05832,-1.21824,-0.33984,0
0.41476338,-0.85364091,9.92538414,0.08064,-1.22616,-0.33552,0
0.4340547,-0.8681094,9.94949829,0.07056,-1.20888,-0.33552,0
0.41958621,-0.85846374,9.91091565,0.07272,-1.206,-0.3564,0
0.40029489,-0.81023544,9.92056131,0.06768,-1.20816,-0.36648,0
0.40994055,-0.78612129,9.93985263,0.04824,-1.20672,-0.3888,0
0.39064923,-0.79094412,9.94949829,0.0612,-1.20888,-0.37368,0
0.40994055,-0.80541261,9.91573848,0.04824,-1.2204,-0.36072,0
0.35688942,-0.77647563,9.91573848,0.05688,-1.206,-0.34776,0
0.33277527,-0.79576695,9.93985263,0.0612,-1.21968,-0.33336,0
0.29901546,-0.83434959,9.96878961,0.0576,-1.21608,-0.29376,0
0.4340547,-0.88257789,9.93985263,0.05904,-1.21032,-0.29736,0
0.44852319,-0.90186921,9.95432112,0.05832,-1.22544,-0.2808,0
0.48710583,-0.88257789,9.93020697,0.04176,-1.1988,-0.26712,0
0.52086564,-0.87293223,9.9350298,0.09936,-1.2204,-0.32472,0
0.47746017,-0.85364091,9.94949829,0.07992,-1.22184,-0.35568,0
0.45334602,-0.81505827,9.9350298,0.07056,-1.18584,-0.38448,0
0.44370036,-0.82952676,9.90609282,0.05904,-1.18728,-0.4032,0
0.45816885,-0.90669204,9.95432112,0.0468,-1.17936,-0.4284,0
0.41958621,-0.95492034,9.92538414,0.04824,-1.17,-0.4428,0
0.36171225,-0.89704638,9.94467546,0.04752,-1.1664,-0.43488,0
0.31830678,-0.83917242,9.92538414,0.06408,-1.15992,-0.41472,0
0.31830678,-0.88257789,9.92538414,0.07488,-1.16784,-0.39528,0
0.30383829,-0.80541261,9.95914395,0.08352,-1.18872,-0.39528,0
0.31830678,-0.8198811,9.9832581,0.08784,-1.1736,-0.37296,0
0.33277527,-0.78612129,9.93985263,0.09072,-1.17432,-0.3708,0
0.36171225,-0.82952676,9.95914395,0.0972,-1.18512,-0.3816,0
0.31348395,-0.80541261,9.94949829,0.06264,-1.19448,-0.36792,0
0.27972414,-0.80058978,9.99290376,0.08784,-1.18368,-0.4068,0
0.30383829,-0.81023544,9.96396678,0.09,-1.19664,-0.41328,0
0.21220452,-0.79576695,9.91091565,0.06696,-1.19376,-0.4248,0
0.28454697,-0.80058978,9.90126999,0.06192,-1.18728,-0.44352,0
0.29419263,-0.74753865,9.94467546,0.08352,-1.20672,-0.43776,0
0.29901546,-0.71377884,9.90609282,0.06624,-1.2024,-0.41832,0
0.2893698,-0.71860167,9.94949829,0.09144,-1.19448,-0.4032,0
0.27007848,-0.73789299,9.94949829,0.07632,-1.20744,-0.36864,0
0.2893698,-0.79094412,9.91091565,0.07416,-1.23624,-0.3168,0
0.32312961,-0.67037337,9.96396678,0.05976,-1.21968,-0.31752,0
0.36171225,-0.69931035,9.92538414,0.07128,-1.2384,-0.29376,0
0.34242093,-0.70413318,9.93985263,0.07992,-1.23048,-0.30888,0
0.31830678,-0.68484186,9.91091565,0.06408,-1.22184,-0.31464,0
0.34724376,-0.74271582,9.94949829,0.08136,-1.21392,-0.32544,0
0.35206659,-0.74271582,9.92538414,0.06912,-1.22472,-0.34488,0
0.35688942,-0.74753865,9.9350298,0.05616,-1.24128,-0.34992,0
0.34242093,-0.79094412,9.90609282,0.04896,-1.21824,-0.36072,0
0.48710583,-0.83917242,9.8868015,0.0432,-1.22976,-0.33912,0
0.54015696,-0.88257789,9.91573848,0.0324,-1.23552,-0.3348,0
0.58356243,-0.95492034,9.97361244,0.02232,-1.23696,-0.31968,0
0.54980262,-0.99350298,9.92538414,0.03312,-1.21464,-0.32184,0
0.56427111,-0.94527468,9.87233301,0.06624,-1.19952,-0.32256,0
0.39547206,-0.88257789,9.86751018,0.07272,-1.1844,-0.38664,0
0.32312961,-0.81505827,9.96878961,0.0936,-1.1664,-0.40896,0
0.24596433,-0.72824733,9.92538414,0.10728,-1.17,-0.52128,0
0.20255886,-0.64625922,9.91573848,0.07416,-1.18008,-0.5508,0
0.13021641,-0.68966469,9.97361244,0.06264,-1.18944,-0.59328,0
0.14950773,-0.68001903,9.95914395,0.0432,-1.16424,-0.59544,0
0.13021641,-0.68001903,9.97361244,0.0252,-1.18584,-0.55656,0
0.11092509,-0.64625922,10.00254942,0.03168,-1.18584,-0.46008,0
0.13021641,-0.68966469,9.95432112,0.03888,-1.2492,-0.40968,0
0.18809037,-0.7234245,9.95432112,0.06552,-1.27368,-0.35568,0
0.32312961,-0.7234245,9.96878961,0.054,-1.296,-0.25632,0
0.46299168,-0.74753865,9.93985263,0.10584,-1.3068,-0.21816,0
0.55944828,-0.7716528,9.93985263,0.07416,-1.2996,-0.17136,0
0.63179073,-0.75718431,8.67144834,0.06912,-1.2888,-0.16488,0
0.67037337,-0.82470393,9.84339603,0.07344,-1.25928,-0.1656,0
0.63661356,-0.83917242,9.86268735,0.054,-1.23552,-0.22752,0
0.62214507,-0.85846374,9.95432112,0.01728,-1.23048,-0.2556,0
0.66555054,-0.83434959,9.8868015,0.02448,-1.20024,-0.36216,0
0.58838526,-0.95492034,8.64251136,0.0108,-1.19448,-0.38376,0
0.52086564,-0.94045185,9.8868015,0.0144,-1.1628,-0.3924,0
0.49192866,-0.86328657,9.90609282,0.05688,-1.17936,-0.38448,0
0.45816885,-0.93562902,9.92056131,0.05472,-1.17216,-0.36288,0
0.42923187,-0.90669204,9.92538414,0.04608,-1.16928,-0.34344,0
0.32795244,-0.88740072,9.91573848,0.054,-1.15848,-0.33336,0
0.25078716,-0.88257789,9.96396678,0.0756,-1.16856,-0.32904,0
0.31830678,-0.86328657,9.94467546,0.05112,-1.1988,-0.32976,0
0.28454697,-0.88740072,9.90126999,0.06264,-1.17216,-0.33984,0
0.20255886,-0.84399525,9.92538414,0.06912,-1.19088,-0.3924,0
0.21220452,-0.84399525,9.94949829,0.07344,-1.18512,-0.43848,0
0.22185018,-0.79576695,9.93020697,0.072,-1.1844,-0.44424,0
0.25078716,-0.78612129,9.93985263,0.04968,-1.18656,-0.46296,0
0.21220452,-0.79576695,9.93985263,0.0792,-1.21464,-0.4716,0
0.27490131,-0.79576695,9.91091565,0.07344,-1.23048,-0.41472,0
0.32795244,-0.81023544,9.94467546,0.06984,-1.21032,-0.37944,0
0.35206659,-0.76200714,9.92056131,0.072,-1.23696,-0.3168,0
0.38100357,-0.76200714,9.92056131,0.08568,-1.23264,-0.29736,0
0.48710583,-0.76200714,9.92538414,0.08928,-1.24416,-0.27648,0
0.46299168,-0.77647563,9.94949829,0.07488,-1.23768,-0.28512,0
0.56909394,-0.81505827,9.88197867,0.06408,-1.23912,-0.28728,0
0.53533413,-0.8681094,9.97361244,0.06336,-1.2168,-0.29592,0
0.58356243,-0.89222355,9.89644716,0.05976,-1.21608,-0.30672,0
0.5787396,-0.92116053,9.93985263,0.03672,-1.2024,-0.36288,0
0.61732224,-0.91151487,9.90609282,0.05688,-1.18368,-0.378,0
0.50639715,-0.89704638,9.91573848,0.03672,-1.17864,-0.38736,0
0.43887753,-0.93562902,9.90609282,0.04248,-1.16136,-0.42264,0
0.42440904,-0.90669204,9.86268735,0.0828,-1.18296,-0.4428,0
0.32795244,-0.84399525,9.89644716,0.08856,-1.1844,-0.44856,0
0.3375981,-0.87775506,9.92538414,0.05184,-1.15992,-0.4428,0
0.19773603,-0.88740072,9.96878961,0.04248,-1.16136,-0.43632,0
