Timestamp,Yaw,Pitch,Roll,Qtn[0], Qtn[1], Qtn[2], Qtn[3],Rate X,Rate Y,Rate Z,Accel X,Accel Y,Accel Z,Temp,Pres,dTime,dTheta X,dTheta Y,dTheta Z,dVel X,dVel Y,dVel Z,AccelNed X,AccelNed Y,AccelNed Z,LinearAccel X,LinearAccel Y,LinearAccel Z,LinearAccelNed X,LinearAccelNed Y,LinearAccelNed Z
2591.81,-61.9028,89.4182,109.127,-0.706372,-0.0520031,0.703493,-0.0585884,-0.228191,-0.00871992,0.0312321,72.8082,-3.85722,-3.72328,32.8,99.203,0.025001,-0.374099,-0.0628088,0.0806223,1.82965,-0.0135794,-0.0666021,3.42489,3.73769,-72.8291,63.015,-3.76318,-3.7559,3.42489,3.73769,-63.0354
2591.83,-60.0268,89.4256,110.601,-0.70625,-0.0545592,0.703219,-0.0609745,-0.263533,0.0115888,0.0145546,73.5995,3.24456,-0.372004,32.8025,99.257,0.024999,-0.401181,0.0106427,0.027511,1.83297,-0.0085765,-0.0520929,1.26427,-3.78026,-73.564,63.8062,3.33654,-0.40658,1.26427,-3.78026,-63.7702
2591.86,-60.0268,89.4256,110.601,-0.70625,-0.0545592,0.703219,-0.0609745,-0.263533,0.0115888,0.0145546,73.5995,3.24456,-0.372004,32.8025,99.257,0.024999,-0.401181,0.0106427,0.027511,1.83297,-0.0085765,-0.0520929,1.26427,-3.78026,-73.564,63.8062,3.33654,-0.40658,1.26427,-3.78026,-63.7702
2591.89,-69.8219,89.3626,100.254,-0.705479,-0.0573612,0.703413,-0.0649549,-0.221482,-0.027609,0.0208735,73.6959,-3.91581,-0.487359,32.8,99.228,0.025,-0.285767,-0.0306674,0.0588998,1.83281,0.0120992,-0.0530724,0.0882253,3.17116,-73.7333,63.9028,-3.80856,-0.506764,0.0882253,3.17116,-63.9396
2591.91,-81.408,89.3977,88.0878,-0.704345,-0.0610113,0.703912,-0.0684397,-0.213426,-0.0501399,-0.00979106,73.6305,-1.19653,-1.41862,32.8,99.203,0.024999,-0.290546,-0.0694323,0.0184923,1.83458,0.000239486,-0.0397267,1.29248,0.668904,-73.6396,63.8374,-1.09353,-1.41518,1.29248,0.668904,-63.8458
2591.94,-81.408,89.3977,88.0878,-0.704345,-0.0610113,0.703912,-0.0684397,-0.213426,-0.0501399,-0.00979106,73.6305,-1.19653,-1.41862,32.8,99.203,0.024999,-0.290546,-0.0694323,0.0184923,1.83458,0.000239486,-0.0397267,1.29248,0.668904,-73.6396,63.8374,-1.09353,-1.41518,1.29248,0.668904,-63.8458
2591.96,-89.3476,89.4321,79.8466,-0.703667,-0.0630885,0.704247,-0.0700696,-0.221138,-0.0532643,-0.0236013,73.5237,-0.119337,-1.2278,32.8,99.277,0.025001,-0.297041,-0.0815588,-0.00260607,1.83508,0.00121504,-0.0421858,1.19194,-0.38093,-73.5234,63.7304,-0.0238343,-1.21069,1.19194,-0.38093,-63.7296
2591.99,-89.3476,89.4321,79.8466,-0.703667,-0.0630885,0.704247,-0.0700696,-0.221138,-0.0532643,-0.0236013,73.5237,-0.119337,-1.2278,32.8,99.277,0.025001,-0.297041,-0.0815588,-0.00260607,1.83508,0.00121504,-0.0421858,1.19194,-0.38093,-73.5234,63.7304,-0.0238343,-1.21069,1.19194,-0.38093,-63.7296
2592.01,-113.79,89.4644,54.7779,-0.701954,-0.0675458,0.705213,-0.0733053,-0.22506,-0.0801212,-0.0438072,73.2881,0.566095,-1.41783,32.8,99.179,0.025001,-0.316297,-0.10859,-0.0248515,1.83626,0.00216687,-0.0379059,1.22522,-0.901467,-73.2882,63.4948,0.640973,-1.36497,1.22522,-0.901467,-63.4945
2592.04,-113.79,89.4644,54.7779,-0.701954,-0.0675458,0.705213,-0.0733053,-0.22506,-0.0801212,-0.0438072,73.2881,0.566095,-1.41783,32.8,99.179,0.025001,-0.316297,-0.10859,-0.0248515,1.83626,0.00216687,-0.0379059,1.22522,-0.901467,-73.2882,63.4948,0.640973,-1.36497,1.22522,-0.901467,-63.4945
